Date,Open,High,Low,Close,Volume
2020-10-15,2.35,2.4,2.3,2.35,4119323
2020-10-16,2.35,2.4,2.25,2.3,3518953
2020-10-19,2.35,2.35,2.2,2.25,2491885
2020-10-20,2.3,2.45,2.25,2.45,3516218
2020-10-21,2.5,2.6,2.4,2.5,9169876
2020-10-22,2.45,2.5,2.35,2.4,7247602
2020-10-23,2.45,2.6,2.4,2.6,21442048
2020-10-26,2.7,2.7,2.45,2.5,14300993
2020-10-27,2.5,2.5,2.4,2.4,3576325
2020-10-28,2.45,2.45,2.3,2.35,3471136
2020-10-29,2.3,2.35,2.25,2.3,4731396
2020-10-30,2.35,2.35,2.25,2.3,2415150
2020-11-02,2.3,2.35,2.25,2.25,3003211
2020-11-03,2.3,2.4,2.25,2.35,5600201
2020-11-04,2.35,2.45,2.3,2.4,2751962
2020-11-05,2.45,2.6,2.45,2.5,15690363
2020-11-06,2.5,2.6,2.45,2.55,4754235
2020-11-09,2.75,2.8,2.45,2.5,26351557
2020-11-10,2.5,2.5,2.35,2.4,8458400
2020-11-11,2.4,2.45,2.3,2.3,6110399
2020-11-12,2.35,2.4,2.25,2.35,8526208
2020-11-13,2.3,2.35,2.25,2.3,8073901
2020-11-14,2.35,2.4,2.3,2.35,3060854
2020-11-17,2.35,2.45,2.25,2.3,14279972
2020-11-18,2.3,2.45,2.2,2.35,24360664
2020-11-19,2.4,2.5,2.3,2.35,14664267
2020-11-20,2.4,2.55,2.35,2.5,27057378
2020-11-23,2.5,2.6,2.4,2.5,12526487
2020-11-24,2.5,2.55,2.45,2.45,3297960
2020-11-25,2.45,2.5,2.3,2.4,10908539
2020-11-26,2.4,2.4,2.3,2.35,5052697
2020-11-27,2.4,2.4,2.3,2.35,5308507
2020-12-01,2.35,2.4,2.25,2.35,8948448
2020-12-02,2.35,2.4,2.3,2.35,4812841
2020-12-03,2.35,2.5,2.3,2.45,17449689
2020-12-04,2.55,2.65,2.45,2.65,33045174
2020-12-07,2.8,3.15,2.75,3.15,58478184
2020-12-08,3.3,3.75,3.25,3.35,122591752
2020-12-09,3.45,3.5,3.0,3.1,28600681
2020-12-10,3.1,3.3,3.0,3.25,26377936
2020-12-11,3.4,3.9,3.35,3.9,117867850
2020-12-14,4.15,4.25,4.0,4.1,116279644
2020-12-15,3.95,3.95,3.7,3.7,22397712
2020-12-16,3.55,3.6,3.35,3.35,59946432
2020-12-17,3.2,3.65,3.2,3.55,64008893
2020-12-18,3.6,3.7,3.25,3.35,34258747
2020-12-21,3.4,3.4,3.05,3.05,30053242
2020-12-22,2.95,3.2,2.9,3.2,26856512
2020-12-23,3.2,3.35,3.15,3.25,24973106
2020-12-24,3.3,3.35,3.1,3.15,21249301
2020-12-28,3.2,3.3,3.1,3.3,42946915
2020-12-29,3.35,3.4,3.15,3.2,28737190
2020-12-30,3.2,3.2,3.1,3.2,13404379
2020-12-31,3.2,3.25,3.15,3.2,13171515
2021-01-01,3.25,3.35,3.2,3.3,21597167
2021-01-04,3.35,3.4,3.2,3.3,17607991
2021-01-05,3.3,3.4,3.2,3.3,24513741
2021-01-06,3.35,3.4,3.15,3.25,42471546
2021-01-07,3.35,3.4,3.3,3.35,43215380
2021-01-08,3.4,3.5,3.2,3.3,34728223
2021-01-11,3.35,3.35,3.15,3.25,17040729
2021-01-12,3.3,3.3,3.2,3.2,8228053
2021-01-13,3.25,3.3,3.1,3.15,17029070
2021-01-14,3.2,3.2,3.05,3.1,12538760
2021-01-15,3.1,3.1,2.95,3.0,23028033
2021-01-18,3.0,3.05,2.9,2.95,12852868
2021-01-19,2.95,3.05,2.95,3.05,8908950
2021-01-20,3.05,3.1,2.9,3.0,17287429
2021-01-21,3.05,3.1,2.9,2.95,8555114
2021-01-22,2.95,2.95,2.85,2.85,20631083
2021-01-25,2.85,2.9,2.75,2.8,14498452
2021-01-27,2.8,2.9,2.75,2.9,8218626
2021-01-28,3.0,3.0,2.9,3.0,15204730
2021-01-29,2.85,2.9,2.85,2.85,7830578
2021-02-01,2.75,2.85,2.75,2.75,47181649
2021-02-02,2.75,2.85,2.7,2.85,14036817
2021-02-03,2.9,2.95,2.85,2.85,18167638
2021-02-04,2.85,2.9,2.75,2.8,9540718
2021-02-05,2.8,2.85,2.7,2.75,9719331
2021-02-08,2.65,2.7,2.6,2.6,21922784
2021-02-09,2.6,2.65,2.45,2.5,14934412
2021-02-10,2.5,2.5,2.4,2.4,10542172
2021-02-11,2.45,2.6,2.4,2.6,23011508
2021-02-12,2.6,2.75,2.55,2.75,16895862
2021-02-15,3.0,3.0,3.0,3.0,8655427
2021-02-16,3.3,3.3,3.1,3.3,90148618
2021-02-17,3.4,3.4,3.15,3.15,29810742
2021-02-18,3.05,3.1,3.0,3.0,13841497
2021-02-19,2.85,3.0,2.85,2.85,28037378
2021-02-22,2.75,2.85,2.75,2.75,15327497
2021-02-23,2.7,2.85,2.65,2.85,11930694
2021-02-24,2.9,2.9,2.8,2.85,6872741
2021-02-25,2.85,2.9,2.75,2.8,12123135
2021-02-26,2.75,2.85,2.75,2.75,9892931
2021-03-01,2.8,2.85,2.75,2.85,7030140
2021-03-02,2.95,2.95,2.9,2.95,12650710
2021-03-03,3.05,3.05,2.95,3.0,23366490
2021-03-04,3.0,3.05,2.9,2.95,21314109
2021-03-05,2.95,3.05,2.9,2.9,11201525
2021-03-08,2.9,2.95,2.85,2.9,6104970
2021-03-09,2.85,2.95,2.8,2.85,8441124
2021-03-10,2.85,2.9,2.8,2.8,9757040
2021-03-12,2.8,2.9,2.7,2.75,33814285
2021-03-15,2.75,2.75,2.7,2.7,7692513
2021-03-16,2.75,2.8,2.7,2.7,14204412
2021-03-17,2.75,2.8,2.6,2.65,15280893
